"Sample Number","Sample Name","RFU","Concentration from curve","Units","Dilution Factor","Sample Stock Concentration","Sample Stock Units","Assay","Curve Used","Curve Type","R^2","LED","Date/Time","Account","Session","Instrument","Exposure","Trend line Origin","Std 1 value","Std 1 RFU average","Std 1 rep 1","Std 1 rep 2","Std 1 rep 3","Std 2 value","Std 2 RFU average","Std 2 rep 1","Std 2 rep 2","Std 2 rep 3",
"1","S1","79,852.442","16.084","ng/ul","10","16.084","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:07","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"2","S1","79,165.327","15.946","ng/ul","10","15.946","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:07","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"3","S1","78,976.915","15.908","ng/ul","10","15.908","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:07","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"4","S2","41,690.252","8.398","ng/ul","10","8.398","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:08","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"5","S2","41,606.691","8.381","ng/ul","10","8.381","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:08","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"6","S2","41,454.576","8.350","ng/ul","10","8.350","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:08","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"7","S3","19,303.730","3.888","ng/ul","10","3.888","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:09","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"8","S3","19,241.902","3.876","ng/ul","10","3.876","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:09","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"9","S3","19,199.274","3.867","ng/ul","10","3.867","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:09","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"10","G1","103,300.108","20.807","ng/ul","10","20.807","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:10","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"11","G1","103,101.232","20.767","ng/ul","10","20.767","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:10","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
"12","G1","103,087.107","20.764","ng/ul","10","20.764","ng/ul","DeNovix High Sensitivity","2025.05.29 Std Curve_KDF","Linear","1","BLUE","2025-05-30 00:10","General","180","S-11350:DS11_FX:v6.2.5:FC2.23:DB171:","","N","0","0","5.151","-1.701","-3.45","25","124,115","124,198","124,123","124,024",
